"term1","term2","n","group"
"Antibodies","Breast cancer",2,"BC"
"Argipressin","Breast cancer",2,"BC"
"Aromatase","Breast cancer",3,"BC"
"cytokine","Breast cancer",2,"BC"
"ERBB2","Breast cancer",6,"BC"
"estradiol","Breast cancer",7,"BC"
"Estrogen Receptor alpha","Breast cancer",2,"BC"
"Estrogen Receptor beta","Breast cancer",1,"BC"
"Estrogen Receptors","Breast cancer",5,"BC"
"estrogens","Breast cancer",9,"BC"
"Follistatin","Breast cancer",1,"BC"
"ICAM1","Breast cancer",1,"BC"
"IGF1R","Breast cancer",2,"BC"
"IL1b","Breast cancer",2,"BC"
"Ligase","Breast cancer",2,"BC"
"melatonin","Breast cancer",3,"BC"
"NEU1","Breast cancer",2,"BC"
"NEURL1","Breast cancer",2,"BC"
"Oncogenes","Breast cancer",5,"BC"
"progesterone","Breast cancer",3,"BC"
"Progesterone receptor","Breast cancer",4,"BC"
"Progestins","Breast cancer",3,"BC"
"Prolactin","Breast cancer",5,"BC"
"Prolactin Receptor","Breast cancer",2,"BC"
"Somatotropin","Breast cancer",2,"BC"
"Steroid hormone","Breast cancer",2,"BC"
"steroid hormone receptor","Breast cancer",2,"BC"
"testosterone","Breast cancer",2,"BC"
"TP53","Breast cancer",2,"BC"
"tyrosine","Breast cancer",2,"BC"
"Aldosterone","PRRT2",1,"BC"
"CD34","NOS3",4,"BC"
"Deacetylase","FOXO1",2,"BC"
"fibrinogen","NOS3",1,"BC"
"Follicle Stimulating Hormone","mullerian-inhibiting hormone",2,"BC"
"Glycoproteins","Membrane Transport Proteins",2,"BC"
"Janus kinase","Vimentin",1,"BC"
"Luteinizing Hormone","Gonadal Steroid Hormones",2,"BC"
"pituitary adenylate cyclase activating polypeptide","ROS1",1,"BC"
"Plasminogen","Cytokeratin 8",1,"BC"
"PRKCZ","Extracellular Signal Regulated Kinases",1,"BC"
"Proteoglycan","FGF2",2,"BC"
"RACK1","BCL2-Related Protein 11",1,"BC"
"RACK1","P-Glycoprotein",2,"BC"
"RACK1","PPP2R4",1,"BC"
"RACK1","PTPA",1,"BC"
"Recombinant Interferon-gamma","ADAM17",1,"BC"
"TIMP2","MMP14",1,"BC"
"IGF1","Actins",2,"trait"
"IGF1","Activins",3,"trait"
"IGF1","Adiponectin",6,"trait"
"IGF1","AKT1",351,"trait"
"IGF1","Albumin",8,"trait"
"IGF1","alpha-Actin",3,"trait"
"IGF1","Androgens",49,"trait"
"IGF1","Antibodies",8,"trait"
"IGF1","arginine",9,"trait"
"IGF1","BAX",5,"trait"
"IGF1","BRCA1",3,"trait"
"IGF1","CA2",27,"trait"
"IGF1","CAMP",33,"trait"
"IGF1","Casein Kinase II",2,"trait"
"IGF1","CD34",1,"trait"
"IGF1","Clusterin",5,"trait"
"IGF1","collagen",92,"trait"
"IGF1","Corticotropin",6,"trait"
"IGF1","CRK",11,"trait"
"IGF1","Cyclic AMP-Dependent Protein Kinases",7,"trait"
"IGF1","Cyclic AMP-Responsive DNA-Binding Protein",11,"trait"
"IGF1","Cyclin D1",27,"trait"
"IGF1","cytokine",31,"trait"
"IGF1","E2F1",2,"trait"
"IGF1","EGFR",8,"trait"
"IGF1","Enzymes",3,"trait"
"IGF1","epidermal growth factor",68,"trait"
"IGF1","ESR2",3,"trait"
"IGF1","estradiol",82,"shared"
"IGF1","Estrogen Receptors",13,"trait"
"IGF1","estrogens",47,"shared"
"IGF1","Extracellular Signal Regulated Kinases",24,"trait"
"IGF1","FGF",7,"trait"
"IGF1","FGF2",41,"trait"
"IGF1","Follicle Stimulating Hormone",38,"trait"
"IGF1","Follistatin",1,"trait"
"IGF1","FOXO1",6,"trait"
"IGF1","FOXO3",4,"trait"
"IGF1","Glucocorticoids",10,"trait"
"IGF1","glycogen synthase kinase 3 beta",7,"trait"
"IGF1","Gonadotropins",31,"trait"
"IGF1","HIF1alpha protein",6,"trait"
"IGF1","Hormones",42,"trait"
"IGF1","Human Chorionic Gonadotropin",10,"trait"
"IGF1","IGF1R",243,"shared"
"IGF1","IGF2",177,"trait"
"IGF1","IGFBP",289,"trait"
"IGF1","IGFBP3",236,"trait"
"IGF1","IGFBP5",46,"trait"
"IGF1","IL1b",20,"trait"
"IGF1","IL6",31,"trait"
"IGF1","Insulin",338,"trait"
"IGF1","Insulin Receptor",48,"trait"
"IGF1","Integrins",14,"trait"
"IGF1","Leptin",66,"trait"
"IGF1","Ligands",5,"trait"
"IGF1","Luteinizing Hormone",11,"trait"
"IGF1","MDM2",3,"trait"
"IGF1","melatonin",6,"shared"
"IGF1","myostatin",23,"trait"
"IGF1","NOS2",10,"trait"
"IGF1","NOS2A",10,"trait"
"IGF1","octreotide",4,"trait"
"IGF1","oxidized low density lipoprotein",2,"trait"
"IGF1","Oxytocin",10,"trait"
"IGF1","parathyroid hormone-related protein",2,"trait"
"IGF1","Phosphotransferases",59,"trait"
"IGF1","Platelet-Derived Growth Factor",13,"trait"
"IGF1","Prolactin",38,"trait"
"IGF1","Proteoglycan",57,"trait"
"IGF1","Proto-Oncogenes",4,"trait"
"IGF1","PTHLH",2,"trait"
"IGF1","PTK2B",17,"trait"
"IGF1","RAC-Alpha Serine/Threonine Kinase",18,"trait"
"IGF1","Recombinant Growth Hormone",11,"trait"
"IGF1","Recombinant Interferon-gamma",2,"trait"
"IGF1","SGK1",3,"trait"
"IGF1","SHC1",9,"trait"
"IGF1","SIRPA",2,"trait"
"IGF1","Somatomedins",149,"trait"
"IGF1","Somatostatin",23,"trait"
"IGF1","Somatotropin",474,"trait"
"IGF1","Somatotropin-Releasing Hormone",13,"trait"
"IGF1","Steroid hormone",3,"trait"
"IGF1","TGFB1",33,"trait"
"IGF1","threonine",5,"trait"
"IGF1","TNF",36,"trait"
"IGF1","TP53",11,"shared"
"IGF1","Transferrin Receptor",3,"trait"
"IGF1","Transgenes",6,"trait"
"IGF1","tyrosine",9,"trait"
"IGF1","UBE2L3",2,"trait"
"IGF1","VEGFA",80,"trait"
"Actins","Dactinomycin",1,"trait"
"AKT1","5'-AMP-activated protein kinase",2,"trait"
"AKT1","Forkhead Transcription Factors",5,"trait"
"AKT1","HSP90 Heat-Shock Proteins",2,"trait"
"AKT1","SMAD3",2,"trait"
"AKT1","TERT",2,"trait"
"AKT1","WNK1",2,"trait"
"Albumin","Dactinomycin",1,"trait"
"alpha-Actin","ARHGEF5",1,"trait"
"alpha-Actin","Rho Guanine Nucleotide Exchange Factor 5",1,"trait"
"alpha-Actin","TIMELESS",1,"trait"
"BAX","PCNA",2,"trait"
"BRCA1","Ir Genes",2,"trait"
"CA2","cyclosporine",1,"trait"
"CAMP","KITLG",1,"trait"
"CAMP","Steroid 11-beta-Monooxygenase",1,"trait"
"CD34","chemokine",1,"trait"
"Clusterin","Glycoproteins",2,"trait"
"Corticotropin","TIMP2",1,"trait"
"CRK","RAF1",1,"trait"
"CRK","RBL2",1,"trait"
"Cyclic AMP-Dependent Protein Kinases","pituitary adenylate cyclase activating polypeptide",1,"trait"
"Cyclic AMP-Dependent Protein Kinases","Protein phosphatase",2,"trait"
"Cyclin D1","Retinoblastoma Protein",3,"trait"
"E2F1","Ir Genes",1,"trait"
"epidermal growth factor","alteplase",2,"trait"
"epidermal growth factor","Iodide Peroxidase",1,"trait"
"epidermal growth factor","osteopontin",1,"trait"
"ESR2","estrogen receptor alpha",1,"trait"
"estradiol","PAX2",1,"trait"
"estradiol","Thioredoxin",2,"trait"
"Estrogen Receptors","ERBB2",1,"shared"
"Estrogen Receptors","NEU1",1,"shared"
"Estrogen Receptors","NEURL1",1,"shared"
"estrogens","CATHEPSIN D",2,"trait"
"estrogens","estrogen receptor alpha",2,"trait"
"FGF2","bone morphogenetic protein 7",1,"trait"
"FGF2","Iodide Peroxidase",1,"trait"
"FGF2","Ir Genes",1,"trait"
"Follistatin","Deacetylase",1,"trait"
"FOXO1","CDKN1B",1,"trait"
"FOXO1","cyclin-dependent kinase inhibitor 1B",1,"trait"
"FOXO1","HOXA5",1,"trait"
"FOXO1","Matrix Metalloproteinases",1,"trait"
"Gonadotropins","3 (or 17)-beta-hydroxysteroid dehydrogenase",1,"trait"
"HIF1alpha protein","ARNT",2,"trait"
"Hormones","CD44",2,"trait"
"IGF1R","ALG1",1,"trait"
"IGF1R","Antibodies, Anti-Idiotypic",2,"trait"
"IGF1R","COL11A2",1,"trait"
"IGF1R","KL",2,"trait"
"IGF1R","MT1A",1,"trait"
"IGF1R","MT1B",1,"trait"
"IGF1R","MT1E",1,"trait"
"IGF1R","MT1F",1,"trait"
"IGF1R","MT1G",1,"trait"
"IGF1R","MT1H",1,"trait"
"IGF1R","MT1IP",1,"trait"
"IGF1R","MT1JP",1,"trait"
"IGF1R","MT1L",1,"trait"
"IGF1R","MT1M",1,"trait"
"IGF1R","MT1X",1,"trait"
"IGF1R","MTNR1A",1,"trait"
"IGF1R","PARP1",1,"trait"
"IGF2","AHR",1,"trait"
"IGF2","Aryl Hydrocarbon Receptor",1,"trait"
"IGFBP","Estrogenic",1,"trait"
"IGFBP","Matrix Metalloproteinases",2,"trait"
"IGFBP3","fibrinogen",1,"trait"
"IGFBP3","PRKCZ",1,"trait"
"IGFBP5","alteplase",1,"trait"
"IGFBP5","Plasminogen",3,"trait"
"IGFBP5","thrombin",1,"trait"
"IL6","CREBBP",1,"trait"
"Insulin","Aldosterone",1,"trait"
"Insulin","Growth Factor Receptors",2,"trait"
"Insulin","Protein phosphatase",1,"trait"
"Insulin","TXNIP",1,"trait"
"Insulin Receptor","Glycoproteins",2,"trait"
"Integrins","BHLHE22",1,"trait"
"Integrins","EEF1B2P2",1,"trait"
"Integrins","Focal Adhesion Kinase 1",1,"trait"
"Integrins","PTK2",1,"trait"
"Leptin","PER2 protein, mammalian",1,"trait"
"Ligands","TACSTD2",1,"trait"
"melatonin","SIRT1",1,"trait"
"myostatin","EP300",1,"trait"
"octreotide","Somatostatin analog",6,"trait"
"octreotide","somatostatin receptor 2",2,"trait"
"octreotide","SSTR2",2,"trait"
"oxidized low density lipoprotein","Cytochromes c",1,"trait"
"parathyroid hormone-related protein","VEGFR2",1,"trait"
"Platelet-Derived Growth Factor","osteopontin",2,"trait"
"Prolactin","Vasoactive Intestinal Peptide",1,"trait"
"Proteoglycan","IL1a",2,"trait"
"Proto-Oncogenes","Adaptor Signaling Protein",2,"trait"
"PTHLH","VEGFR2",1,"trait"
"PTK2B","WNK1",1,"trait"
"RAC-Alpha Serine/Threonine Kinase","WNK1",2,"trait"
"Recombinant Growth Hormone","Antibodies, Anti-Idiotypic",1,"trait"
"SGK1","WNK1",1,"trait"
"SIRPA","PTPN11",2,"trait"
"Somatomedins","CYP17A1",1,"trait"
"Somatomedins","High Density Lipoproteins",1,"trait"
"Somatomedins","HSP90 Heat-Shock Proteins",2,"trait"
"Somatomedins","Janus kinase",2,"trait"
"Somatomedins","MMP14",2,"trait"
"Somatomedins","Monoclonal Antibodies",3,"trait"
"Somatomedins","MST1R",1,"trait"
"Somatomedins","osteopontin",1,"trait"
"Somatomedins","RACK1",2,"trait"
"Somatotropin","chemokine",2,"trait"
"Somatotropin","KL",2,"trait"
"Somatotropin","Levodopa",2,"trait"
"Somatotropin","mullerian-inhibiting hormone",1,"trait"
"Somatotropin","Somatostatin analog",2,"trait"
"Somatotropin","STAT5B",8,"trait"
"Somatotropin-Releasing Hormone","GNAQ",2,"trait"
"Steroid hormone","Growth Factor Receptors",2,"trait"
"TGFB1","leukemia inhibitory factor",1,"trait"
"TGFB1","osteopontin",1,"trait"
"TGFB1","Plasminogen Activator",1,"trait"
"TNF","TNFSF11",1,"trait"
"TP53","Ir Genes",3,"trait"
"TP53","KLF6",2,"trait"
"TP53","PARK7",1,"trait"
"Transgenes","Argipressin",1,"trait"
"tyrosine","caveolin 1",3,"trait"
"UBE2L3","Ir Genes",1,"trait"
"VEGFA","Matrix Metalloproteinases",2,"trait"
