"term1","term2","n","group","n_pair_b","keep"
"Gonadotropins","GNRH1",3,"trait",2,TRUE
"Gonadotropins","gonadorelin",3,"trait",2,TRUE
"Gonadotropins","INHIBIN",2,"trait",0,TRUE
"Gonadotropins","Steroid hormone",3,"trait",0,TRUE
"Goserelin","estrogens",2,"shared",0,TRUE
"GRIA1","Estrogen Receptor beta",1,"trait",0,TRUE
"GRK2","Cyclin D1",1,"BC",0,TRUE
"H3F3AP6","Androgen Receptor",2,"BC",0,TRUE
"H3F3AP6","estradiol",2,"BC",0,TRUE
"H3F3AP6","Estrogen Receptor alpha",9,"BC",0,TRUE
"H3F3AP6","Oncogenes",2,"BC",0,TRUE
"H3F3AP6","TP53",30,"BC",1,TRUE
"High Density Lipoproteins","VEGFA",1,"BC",0,TRUE
"Histone Deacetylase","Estrogen Receptor alpha",2,"BC",0,TRUE
"homocysteine","BEST1",1,"trait",0,TRUE
"homocysteine","DMD",1,"trait",0,TRUE
"homocysteine","estradiol",2,"trait",1,TRUE
"homocysteine","Oxidoreductase",2,"trait",0,TRUE
"hormone binding protein","estradiol",2,"trait",0,TRUE
"Hormones","cytokine",2,"trait",0,TRUE
"Hormones","Enzymes",2,"trait",0,TRUE
"Hormones","ERBB2",3,"BC",0,TRUE
"Hormones","Estrogen Receptor alpha",4,"BC",0,TRUE
"Hormones","Estrogen Receptors",5,"shared",2,TRUE
"Hormones","estrogens",7,"trait",6,TRUE
"Hormones","Gonadal Steroid Hormones",3,"trait",2,TRUE
"Hormones","Progestins",2,"trait",0,TRUE
"Hormones","TP53",4,"BC",0,TRUE
"HOTAIR","Chromatin",1,"trait",0,TRUE
"HOXB7","Estrogen Receptor alpha",1,"BC",0,TRUE
"HOXC13","Chromatin",1,"trait",0,TRUE
"HSD17B2","BRCA1",1,"BC",0,TRUE
"HSD17B7P2","BRCA1",1,"BC",0,TRUE
"HSPB1","TP53",2,"BC",0,TRUE
"Human Chorionic Gonadotropin","Alkaline Phosphatase",2,"BC",0,TRUE
"hydrocortisone","CYP3A4",1,"trait",0,TRUE
"hydrocortisone","estrogens",3,"BC",2,TRUE
"ICAM1","Breast cancer",1,"BC",0,TRUE
"IGBP1","Protein phosphatase",1,"BC",0,TRUE
"IGF1","Aromatase",2,"BC",0,TRUE
"IGF1","Estrogen Receptor alpha",5,"BC",0,TRUE
"IGF1","IGF1R",18,"shared",0,TRUE
"IGF1","Insulin",2,"trait",2,TRUE
"IGF1","Leptin",2,"trait",0,TRUE
"IGF1","melatonin",2,"BC",0,TRUE
"IGF1","progesterone",2,"BC",0,TRUE
"IGF1","Progesterone receptor",4,"BC",0,TRUE
"IGF1","PTH",1,"trait",0,TRUE
"IGF1","SHBG",3,"trait",0,TRUE
"IGF1","TNFRSF11B",1,"trait",0,TRUE
"IGF1","TP53",2,"BC",0,TRUE
"IGF1R","Breast cancer",2,"BC",0,TRUE
"IGF1R","Estrogen Receptor alpha",9,"BC",0,TRUE
"IGF1R","Estrogen Receptors",1,"trait",0,TRUE
"IGF2","Estrogen Receptor alpha",1,"BC",0,TRUE
"IGF2","estrogens",2,"BC",0,TRUE
"IGFBP","Somatomedins",1,"trait",0,TRUE
"IGFBP3","caveolin 1",2,"BC",0,TRUE
"IGFBP3","dehydroepiandrosterone",1,"BC",0,TRUE
"IGFBP3","ERVK-10",1,"BC",0,TRUE
"IGFBP3","ERVK-18",1,"BC",0,TRUE
"IGFBP3","ERVK-19",1,"BC",0,TRUE
"IGFBP3","ERVK-21",1,"BC",0,TRUE
"IGFBP3","ERVK-24",1,"BC",0,TRUE
"IGFBP3","ERVK-25",1,"BC",0,TRUE
"IGFBP3","ERVK-7",1,"BC",0,TRUE
"IGFBP3","ERVK-8",1,"BC",0,TRUE
"IGFBP3","ERVK-9",1,"BC",0,TRUE
"IGFBP3","IGF1",17,"shared",4,TRUE
"IGFBP3","IGF2",3,"BC",0,TRUE
"IGFBP3","Phosphoproteins",2,"BC",0,TRUE
"IGFBP3","Somatomedins",9,"BC",0,TRUE
"IGFBP3","Transforming Growth Factor beta",1,"BC",0,TRUE
"IGFBP4","IGF1",3,"trait",0,TRUE
"IL1","FGF7",1,"BC",0,TRUE
"IL1","IL6",1,"BC",0,TRUE
"IL1","Insulin",1,"BC",0,TRUE
"IL1","Minerals",2,"trait",0,TRUE
"IL10","Aromatase",1,"BC",0,TRUE
"IL10","IL6",2,"trait",0,TRUE
"IL1b","Aromatase",3,"BC",0,TRUE
"IL1b","Breast cancer",2,"BC",0,TRUE
"IL1b","Estrogen Receptor alpha",2,"BC",0,TRUE
"IL1b","estrogens",2,"trait",2,TRUE
"IL1b","IL6",2,"BC",0,TRUE
"IL1b","TNF",1,"trait",0,TRUE
"IL6","Aromatase",2,"BC",0,TRUE
"IL6","Estrogen Receptor alpha",2,"BC",0,TRUE
"ILS","SHBG",2,"trait",0,TRUE
"INHIBIN","Activins",1,"trait",0,TRUE
"INHIBIN","BRD2",5,"trait",0,TRUE
"INHIBIN","Follicle Stimulating Hormone",16,"trait",0,TRUE
"inhibin B","BRD2",4,"trait",3,TRUE
"inhibin B","estradiol",1,"trait",0,TRUE
"inhibin B","Follicle Stimulating Hormone",9,"trait",3,TRUE
"Insulin","Adiponectin",3,"trait",0,TRUE
"Insulin","Androgens",2,"trait",2,TRUE
"Insulin","Aromatase",2,"BC",0,TRUE
"Insulin","Estrogen Receptors",6,"BC",0,TRUE
"Insulin","ghrelin",4,"trait",0,TRUE
"Insulin","Gonadal Steroid Hormones",2,"trait",0,TRUE
"Insulin","IGF1",2,"trait",2,TRUE
"Insulin","SHBG",7,"trait",3,TRUE
"Interstitial Collagenase","AKT1",1,"BC",0,TRUE
"Lactate Dehydrogenase","progesterone",1,"trait",0,TRUE
"Leptin","Adiponectin",9,"trait",7,TRUE
"Leptin","Aromatase",6,"BC",0,TRUE
"Leptin","ERBB2",3,"BC",0,TRUE
"Leptin","Estrogen Receptor alpha",4,"BC",0,TRUE
"Leptin","Estrogen Receptors",5,"BC",0,TRUE
"Leptin","hydrocortisone",1,"trait",0,TRUE
"Leptin","ICAM1",2,"BC",0,TRUE
"Leptin","Insulin",5,"trait",3,TRUE
"Leptin","resistin",2,"trait",0,TRUE
"Leptin","SHBG",3,"trait",0,TRUE
"leptin receptor","ICAM1",1,"BC",0,TRUE
"leptin receptor","Insulin",1,"trait",0,TRUE
"Leuprolide Acetate","GNRH1",2,"trait",0,TRUE
"Leuprolide Acetate","gonadorelin",3,"trait",0,TRUE
"Leuprolide Acetate","Gonadotropins",2,"trait",0,TRUE
"Ligase","Breast cancer",2,"BC",0,TRUE
"Lipoproteins","Conjugated Equine Estrogens",2,"trait",0,TRUE
"Lipoproteins","Dydrogesterone",1,"trait",0,TRUE
"Lipoproteins","Enzymes",2,"trait",0,TRUE
"Lipoproteins","Low-Density Lipoproteins",2,"trait",0,TRUE
"Low-Density Lipoproteins","High Density Lipoproteins",6,"trait",5,TRUE
"Low-Density Lipoproteins","progesterone",2,"trait",1,TRUE
"Luteinizing Hormone","cytokine",1,"trait",0,TRUE
"Luteinizing Hormone","estradiol",4,"trait",4,TRUE
"Luteinizing Hormone","Gonadal Steroid Hormones",2,"BC",0,TRUE
"Luteinizing Hormone","INHIBIN",2,"trait",0,TRUE
"Lyase","Androgens",1,"shared",0,TRUE
"Lyase","Gonadal Steroid Hormones",2,"trait",0,TRUE
"MAPK1","ERBB2",3,"BC",0,TRUE
"MAPK1","estrogens",3,"BC",0,TRUE
"Matrix Metalloproteinase 2","TP53",5,"BC",0,TRUE
"Matrix Metalloproteinases","cyclooxygenase 2",1,"BC",0,TRUE
"Matrix Metalloproteinases","Histone Deacetylase",1,"BC",0,TRUE
"Matrix Metalloproteinases","PTK2",2,"BC",0,TRUE
"Medroxyprogesterone 17-Acetate","Androgen Receptor",5,"shared",0,TRUE
"Medroxyprogesterone 17-Acetate","Estrogen Receptors",1,"shared",0,TRUE
"Medroxyprogesterone 17-Acetate","estrogens",8,"shared",7,TRUE
"Medroxyprogesterone 17-Acetate","Monocyte Chemoattractant Protein-1",1,"trait",0,TRUE
"Medroxyprogesterone 17-Acetate","NOS3",2,"trait",0,TRUE
"Medroxyprogesterone 17-Acetate","progesterone",3,"BC",0,TRUE
"Medroxyprogesterone 17-Acetate","Progesterone receptor",5,"BC",0,TRUE
"Medroxyprogesterone 17-Acetate","Progestins",3,"shared",2,TRUE
"Medroxyprogesterone 17-Acetate","Thromboplastin",1,"trait",0,TRUE
"Megestrol Acetate","estrogens",2,"shared",0,TRUE
"Megestrol Acetate","Somatomedins",1,"trait",0,TRUE
"melatonin","Aromatase",6,"BC",0,TRUE
"melatonin","Breast cancer",3,"BC",0,TRUE
"melatonin","cytokine",2,"BC",0,TRUE
"melatonin","Estrogen Receptor alpha",4,"BC",0,TRUE
"melatonin","Estrogen Receptors",10,"BC",0,TRUE
"melatonin","estrogens",17,"shared",3,TRUE
"melatonin","hydrocortisone",1,"trait",0,TRUE
"melatonin","Leptin",1,"trait",0,TRUE
"melatonin","TP53",2,"BC",0,TRUE
"Membrane Transport Proteins","ABCB1",2,"BC",0,TRUE
"Membrane Transport Proteins","ABCC1",2,"BC",0,TRUE
"Membrane Transport Proteins","ABCG2",14,"BC",0,TRUE
"Membrane Transport Proteins","Enzymes",5,"BC",0,TRUE
"Membrane Transport Proteins","estrone sulfate",3,"BC",0,TRUE
"Membrane Transport Proteins","Glucuronosyltransferase",3,"BC",0,TRUE
"Membrane Transport Proteins","PPIG",2,"BC",0,TRUE
"MID1","IGBP1",1,"BC",0,TRUE
"Minerals","ADRBK1",1,"trait",0,TRUE
"Minerals","GRK2",1,"trait",0,TRUE
"Mitogen-Activated Protein Kinases","ERBB2",2,"BC",0,TRUE
"Mitogen-Activated Protein Kinases","estradiol",2,"BC",0,TRUE
"Mitogen-Activated Protein Kinases","Estrogen Receptor alpha",17,"BC",0,TRUE
"Mitogen-Activated Protein Kinases","Estrogen Receptor beta",2,"BC",0,TRUE
"Mitogen-Activated Protein Kinases","Estrogen Receptors",6,"BC",0,TRUE
"Mitogen-Activated Protein Kinases","Progesterone receptor",3,"BC",0,TRUE
"MMP","EGFR",2,"BC",0,TRUE
"MMP","Matrix Metalloproteinase 2",5,"BC",0,TRUE
"MMP","Soluble ErbB-1",2,"BC",0,TRUE
"Monoclonal Antibodies","TRANCE protein",3,"trait",0,TRUE
"Monocyte Chemoattractant Protein-1","TNFRSF11B",1,"trait",0,TRUE
"MTOR","ERBB2",3,"BC",0,TRUE
"mullerian-inhibiting hormone","BRD2",3,"trait",0,TRUE
"mullerian-inhibiting hormone","Follicle Stimulating Hormone",3,"trait",2,TRUE
"mullerian-inhibiting hormone","NF-kappa B",2,"BC",0,TRUE
"mullerian-inhibiting hormone","NFKB1",3,"BC",0,TRUE
"mullerian-inhibiting hormone","testosterone",2,"trait",0,TRUE
"MYC","estrogens",15,"BC",0,TRUE
"MYC","TP53",7,"BC",0,TRUE
"N-telopeptide","collagen type I",2,"trait",0,TRUE
"N-telopeptide","estrogens",1,"trait",0,TRUE
"Nandrolone","Progestins",3,"shared",0,TRUE
"NCOA3","EREG",1,"trait",0,TRUE
"NCOA3","ESR1",1,"trait",0,TRUE
"NCOA3","Estrogen Receptor alpha",1,"trait",0,TRUE
"NEU1","Breast cancer",2,"BC",0,TRUE
"NEURL1","Breast cancer",2,"BC",0,TRUE
"Neurokinin B","gonadorelin",2,"trait",0,TRUE
"NF-kappa B","ERBB2",1,"BC",0,TRUE
"NFKB1","ERBB2",3,"BC",0,TRUE
"NFKB1","Estrogen Receptors",2,"BC",0,TRUE
"Norethindrone","estrogens",2,"trait",0,TRUE
"Norethindrone","Ethinyl Estradiol",3,"trait",0,TRUE
"Norethindrone","Lipoproteins",2,"trait",0,TRUE
"Norethindrone","norethindrone acetate",2,"trait",0,TRUE
"Norethindrone","NOS3",2,"trait",0,TRUE
"Norethindrone","VEGFA",3,"BC",0,TRUE
"norethindrone acetate","Androgens",2,"trait",0,TRUE
"norethindrone acetate","IGF1",1,"trait",0,TRUE
"Norgestrel","Androgen Receptor",1,"BC",0,TRUE
"NOS2","estrogens",2,"trait",0,TRUE
"NOS2A","estrogens",2,"trait",0,TRUE
"NOS3","Apolipoproteins",1,"trait",0,TRUE
"NOS3","EGFR",1,"BC",0,TRUE
"NOS3","Lipoproteins",3,"trait",0,TRUE
"NR5A2","Aromatase",1,"shared",0,TRUE
"NSG1","Androgen Receptor",2,"BC",0,TRUE
"NSG1","estradiol",2,"BC",0,TRUE
"NSG1","Estrogen Receptor alpha",9,"BC",0,TRUE
"NSG1","Oncogenes",2,"BC",0,TRUE
"NSG1","TP53",30,"BC",1,TRUE
"NTRK2","STAT3",1,"BC",0,TRUE
"Oncogenes","Breast cancer",5,"BC",0,TRUE
"Opioid Peptide","Gonadotropins",2,"trait",0,TRUE
"Opioids","Gonadotropins",3,"trait",0,TRUE
"Opioids","Prolactin",2,"trait",0,TRUE
"Oral form estradiol","Dydrogesterone",3,"trait",0,TRUE
"Oral form estradiol","Medroxyprogesterone 17-Acetate",3,"trait",0,TRUE
"Ornithine Decarboxylase","Estrogen Receptor alpha",1,"BC",0,TRUE
"Osteocalcin","C-reactive protein",2,"trait",0,TRUE
"Osteocalcin","Follicle Stimulating Hormone",2,"trait",0,TRUE
"Osteocalcin","Insulin",3,"trait",0,TRUE
"osteopontin","Aromatase",1,"BC",0,TRUE
"osteopontin","estradiol",1,"BC",0,TRUE
"osteopontin","ICAM1",1,"BC",0,TRUE
"Oxidoreductase","Ornithine Decarboxylase",1,"BC",0,TRUE
"Oxytocin","Estrogen Receptor alpha",1,"BC",0,TRUE
"P2RX5","Aromatase",1,"shared",0,TRUE
"parathyroid hormone-related protein","VEGFA",2,"BC",0,TRUE
"PELP1","Aromatase",3,"BC",0,TRUE
"PELP1","Estrogen Receptor alpha",3,"BC",0,TRUE
"PELP1","Estrogen Receptors",5,"BC",0,TRUE
"PELP1","estrogens",3,"BC",1,TRUE
"Peptidyl-Dipeptidase A","Bradykinin",3,"trait",0,TRUE
"Peptidyl-Dipeptidase A","NOS3",2,"trait",0,TRUE
"PHB2","TP53",2,"BC",0,TRUE
"Phosphoproteins","TP53",2,"BC",0,TRUE
"Phytoestrogens","Aromatase",2,"BC",0,TRUE
"Phytoestrogens","estradiol",3,"BC",0,TRUE
"Phytoestrogens","Estrogen Receptor alpha",3,"BC",0,TRUE
"Phytoestrogens","Estrogen Receptor beta",7,"BC",0,TRUE
"Phytoestrogens","Estrogen Receptors",33,"shared",1,TRUE
"Phytoestrogens","Estrogenic",2,"trait",0,TRUE
"Phytoestrogens","estrogens",18,"shared",2,TRUE
"Phytoestrogens","Gonadal Steroid Hormones",3,"trait",0,TRUE
"Phytoestrogens","Soy Proteins",9,"trait",4,TRUE
"Pituitary Gonadotropins","GNRH1",1,"shared",0,TRUE
"Plasminogen Activator Inhibitor 1","PLAU",2,"BC",0,TRUE
"Plasminogen Activator Inhibitor 1","PRAP1",2,"BC",0,TRUE
"Plasminogen Activator Inhibitor 1","Serpins",2,"BC",0,TRUE
"Plasminogen Activator Inhibitor 1","Urokinase",13,"BC",0,TRUE
"platelet-derived growth factor BB","Chemokine CXCL12",1,"BC",0,TRUE
"platelet-derived growth factor BB","epidermal growth factor",1,"trait",0,TRUE
"PLAU","EPHB2",1,"BC",0,TRUE
"PLAU","MAPK1",1,"BC",0,TRUE
"PLAU","PLAUR",5,"BC",0,TRUE
"PLAUR","ERBB2",1,"BC",0,TRUE
"polyglutamine","Androgen Receptor",1,"trait",0,TRUE
"POSTN","Alkaline Phosphatase",1,"trait",0,TRUE
"PPIG","estrogens",3,"BC",0,TRUE
"PRAP1","EPHB2",1,"BC",0,TRUE
"PRAP1","MAPK1",1,"BC",0,TRUE
"PRAP1","PLAUR",5,"BC",0,TRUE
"Premarin","ADRBK1",1,"trait",0,TRUE
"Premarin","GRK2",1,"trait",0,TRUE
"Pro-X dipeptidase","collagen",2,"trait",0,TRUE
"Progestational Hormones, Synthetic","progesterone",2,"trait",0,TRUE
"progesterone","Androgens",4,"trait",0,TRUE
"progesterone","Aromatase",3,"BC",0,TRUE
"progesterone","Breast cancer",3,"BC",0,TRUE
"progesterone","dehydroepiandrosterone",2,"trait",0,TRUE
"progesterone","estradiol",20,"trait",16,TRUE
"progesterone","estrogens",32,"shared",31,TRUE
"progesterone","Gonadotropins",2,"trait",0,TRUE
"progesterone","Hormones",6,"trait",0,TRUE
"progesterone","Leptin",2,"trait",0,TRUE
"progesterone","Lipoproteins",3,"trait",0,TRUE
"progesterone","Progestins",7,"shared",4,TRUE
"progesterone","reproductive hormone",2,"trait",0,TRUE
"progesterone","Somatotropin",4,"BC",0,TRUE
"progesterone","Steroid receptor",2,"trait",0,TRUE
"progesterone","TP53",2,"BC",0,TRUE
"Progesterone receptor","AKTIP",1,"trait",0,TRUE
"Progesterone receptor","Breast cancer",4,"BC",0,TRUE
"Progesterone receptor","ERBB2",13,"BC",0,TRUE
"Progesterone receptor","Estrogen Receptor alpha",23,"BC",18,TRUE
"Progesterone receptor","Estrogen Receptors",58,"BC",3,TRUE
"Progesterone receptor","NEU1",7,"BC",0,TRUE
"Progesterone receptor","NEURL1",7,"BC",0,TRUE
"Progesterone receptor","progesterone",38,"BC",0,TRUE
"Progesterone receptor","steroid hormone receptor",4,"BC",0,TRUE
"Progesterone receptor","Steroid receptor",3,"shared",0,TRUE
"Progesterone receptor","TP53",6,"BC",0,TRUE
"Progestins","Androgen Receptor",2,"trait",0,TRUE
"Progestins","Androgens",6,"trait",0,TRUE
"Progestins","Breast cancer",3,"BC",0,TRUE
"Progestins","Estrogen Receptor alpha",2,"BC",0,TRUE
"Progestins","Estrogen Receptors",10,"BC",0,TRUE
"Progestins","estrogens",93,"shared",71,TRUE
"Progestins","Ethinyl Estradiol",2,"trait",0,TRUE
"Progestins","gonadorelin",3,"trait",0,TRUE
"Progestins","IGF1",2,"trait",0,TRUE
"Progestins","IGF1R",2,"BC",0,TRUE
"Progestins","Ligase",7,"shared",0,TRUE
"Progestins","Lipoproteins",5,"trait",0,TRUE
"Progestins","Low-Density Lipoproteins",2,"trait",0,TRUE
"Progestins","Norethindrone",2,"trait",0,TRUE
"Progestins","NOS3",2,"trait",0,TRUE
"Progestins","Progesterone receptor",23,"shared",0,TRUE
"Progestins","Somatomedins",1,"trait",0,TRUE
"Progestins","Somatotropin",7,"BC",0,TRUE
"Progestins","Steroid receptor",5,"BC",0,TRUE
"Progestins","TP53",2,"BC",0,TRUE
"Progestins","VEGFA",3,"trait",0,TRUE
"Prolactin","Breast cancer",5,"BC",0,TRUE
"Prolactin","Estrogen Receptor alpha",9,"BC",0,TRUE
"Prolactin","Estrogen Receptors",3,"BC",0,TRUE
"Prolactin","gonadorelin",2,"trait",1,TRUE
"Prolactin","Prolactin Receptor",7,"BC",0,TRUE
"Prolactin","Somatotropin-Releasing Hormone",1,"trait",0,TRUE
"Prolactin Receptor","Breast cancer",2,"BC",0,TRUE
"Proliferating Cell Nuclear Antigen","epidermal growth factor",2,"trait",2,TRUE
"Proliferating Cell Nuclear Antigen","TP53",2,"BC",0,TRUE
"Prostate-Specific Antigen","Steroid hormone",2,"BC",0,TRUE
"Prostate-Specific Antigen","steroid hormone receptor",1,"BC",0,TRUE
"Protein phosphatase","Estrogen Receptor alpha",1,"BC",0,TRUE
"Protein phosphatase","TP53",2,"BC",0,TRUE
"PRRT2","AKT1",2,"BC",0,TRUE
"PTEN","ERBB2",2,"BC",0,TRUE
"PTEN","TP53",4,"BC",0,TRUE
"PTEN Phosphohydrolase","AKT1",3,"BC",0,TRUE
"PTEN Phosphohydrolase","PTEN",2,"BC",0,TRUE
"PTH","parathyroid hormone-related protein",1,"trait",0,TRUE
"PTH","PTHLH",1,"trait",0,TRUE
"PTH","TNFRSF11B",2,"trait",0,TRUE
"PTHLH","VEGFA",2,"BC",0,TRUE
"PTK2","TP53",1,"BC",0,TRUE
"PTPRU","High Density Lipoproteins",1,"trait",0,TRUE
"pyridinoline","collagen",2,"trait",0,TRUE
"pyridinoline","deoxypyridinoline",2,"trait",2,TRUE
"Receptor, trkB","STAT3",1,"BC",0,TRUE
"Receptors, Nuclear","Aromatase",5,"BC",0,TRUE
"Receptors, Nuclear","estrogens",6,"BC",2,TRUE
"Receptors, Nuclear","Progesterone receptor",2,"BC",0,TRUE
"reproductive hormone","Hormones",2,"trait",0,TRUE
"resistin","IL1",1,"trait",0,TRUE
"RHO","estrogens",1,"trait",0,TRUE
"Rho-associated kinase","estrogens",1,"trait",0,TRUE
"RHOD","estrogens",1,"trait",0,TRUE
"Ribonucleases","estrogens",1,"BC",0,TRUE
"RS 26306","BRD2",1,"trait",0,TRUE
"RS 26306","Follicle Stimulating Hormone",1,"trait",0,TRUE
"salmon calcitonin","CAMP",4,"BC",0,TRUE
"SCTR","gonadorelin",2,"shared",0,TRUE
"Selective Estrogen Receptor Modulators","Androgen Receptor",1,"BC",0,TRUE
"Selective Estrogen Receptor Modulators","Conjugated Equine Estrogens",2,"trait",0,TRUE
"Selective Estrogen Receptor Modulators","estradiol",5,"BC",0,TRUE
"Selective Estrogen Receptor Modulators","Estrogen Receptor alpha",9,"shared",0,TRUE
"Selective Estrogen Receptor Modulators","Estrogen Receptor beta",2,"BC",0,TRUE
"Selective Estrogen Receptor Modulators","Estrogen Receptors",45,"shared",0,TRUE
"Selective Estrogen Receptor Modulators","Estrogenic",5,"trait",0,TRUE
"Selective Estrogen Receptor Modulators","estrogens",47,"shared",3,TRUE
"Selective Estrogen Receptor Modulators","homocysteine",2,"trait",0,TRUE
"Selective Estrogen Receptor Modulators","Lipoproteins",2,"trait",0,TRUE
"Sermorelin","IGF1",2,"BC",0,TRUE
"Serpins","caspase-8",2,"BC",0,TRUE
"SHBG","estradiol",15,"shared",14,TRUE
"SHBG","Gonadal Steroid Hormones",6,"trait",2,TRUE
"SHBG","Progestins",2,"trait",0,TRUE
"SIL1","TP53",2,"BC",0,TRUE
"SMAD3","Androgen Receptor",1,"trait",0,TRUE
"SNORA62","Steryl-sulfatase",1,"trait",0,TRUE
"SNORA62","STS",1,"trait",0,TRUE
"SNORD12C","Steryl-sulfatase",1,"trait",0,TRUE
"SNORD12C","STS",1,"trait",0,TRUE
"Soluble ErbB-1","ERBB2",7,"BC",0,TRUE
"Soluble ErbB-1","estrogens",2,"BC",0,TRUE
"Somatomedins","Estrogen Receptor alpha",8,"BC",0,TRUE
"Somatomedins","Estrogen Receptors",8,"BC",0,TRUE
"Somatomedins","estrogens",3,"shared",0,TRUE
"Somatomedins","IGF1R",4,"BC",0,TRUE
"Somatomedins","progesterone",2,"BC",0,TRUE
"Somatotropin","Breast cancer",2,"BC",0,TRUE
"Somatotropin","estrogens",4,"trait",4,TRUE
"Somatotropin","IGFBP4",2,"trait",0,TRUE
"Somatotropin","Prolactin Receptor",3,"BC",0,TRUE
"Somatotropin","Somatotropin-Releasing Hormone",1,"trait",0,TRUE
"Somatotropin-Releasing Hormone","epidermal growth factor",1,"BC",0,TRUE
"Somatotropin-Releasing Hormone","Soluble ErbB-1",1,"BC",0,TRUE
"Soy Proteins","estrogens",2,"trait",2,TRUE
"Soy Proteins","IGF1",3,"shared",0,TRUE
"Soy Proteins","NOS3",2,"trait",0,TRUE
"Soy Proteins","Triiodothyronine",1,"trait",0,TRUE
"SPARC","Matrix Metalloproteinase 2",1,"BC",0,TRUE
"src-Family Kinases","ERBB2",6,"BC",0,TRUE
"src-Family Kinases","estradiol",3,"BC",0,TRUE
"src-Family Kinases","Estrogen Receptor alpha",6,"BC",0,TRUE
"src-Family Kinases","Estrogen Receptors",9,"BC",0,TRUE
"src-Family Kinases","estrogens",4,"BC",0,TRUE
"Stanolone","Androgen Receptor",16,"BC",0,TRUE
"Stanozolol","High Density Lipoproteins",2,"trait",0,TRUE
"STAT3","ERBB2",3,"BC",0,TRUE
"STAT3","Estrogen Receptor alpha",1,"BC",0,TRUE
"Steroid hormone","Breast cancer",2,"BC",0,TRUE
"Steroid hormone","Estrogen Receptor alpha",2,"BC",0,TRUE
"Steroid hormone","estrogens",6,"BC",5,TRUE
"Steroid hormone","NOS3",2,"trait",0,TRUE
"Steroid hormone","Progesterone receptor",6,"BC",0,TRUE
"steroid hormone receptor","Breast cancer",2,"BC",0,TRUE
"Steroid receptor","Breast cancer",3,"BC",0,TRUE
"Steroid receptor","Estrogen Receptor alpha",1,"BC",0,TRUE
"Steroid receptor","Estrogen Receptors",3,"BC",0,TRUE
"Steroid receptor","estrogens",3,"BC",2,TRUE
"Steryl-sulfatase","estrogens",14,"shared",0,TRUE
"STK11","ERBB2",2,"BC",0,TRUE
"STK11","Estrogen Receptor alpha",1,"BC",0,TRUE
"STN","C-reactive protein",2,"trait",0,TRUE
"STS","estrogens",12,"shared",0,TRUE
"sulfotransferase","Gonadal Steroid Hormones",2,"trait",0,TRUE
"TAP-144","gonadorelin",2,"shared",0,TRUE
"TCEAL1","Androgen Receptor",2,"BC",0,TRUE
"TCEAL1","estradiol",2,"BC",0,TRUE
"TCEAL1","Estrogen Receptor alpha",9,"BC",0,TRUE
"TCEAL1","Oncogenes",2,"BC",0,TRUE
"TCEAL1","TP53",30,"BC",1,TRUE
"Teriparatide","BEST1",2,"trait",0,TRUE
"Teriparatide","DMD",2,"trait",0,TRUE
"testosterone","Androstenedione",4,"trait",4,TRUE
"testosterone","Breast cancer",2,"BC",0,TRUE
"testosterone","dehydroepiandrosterone",4,"trait",3,TRUE
"testosterone","estradiol",16,"shared",2,TRUE
"testosterone","estrogens",11,"shared",5,TRUE
"testosterone","Follicle Stimulating Hormone",2,"trait",0,TRUE
"testosterone","Gonadal Steroid Hormones",2,"trait",2,TRUE
"testosterone","Hormones",2,"trait",0,TRUE
"testosterone","Human Chorionic Gonadotropin",2,"trait",0,TRUE
"testosterone","hydrocortisone",2,"trait",0,TRUE
"testosterone","Low-Density Lipoproteins",1,"trait",0,TRUE
"testosterone","Progestins",4,"shared",2,TRUE
"testosterone","SHBG",13,"trait",10,TRUE
"TFF1","CATHEPSIN D",1,"trait",0,TRUE
"TFF1","estradiol",5,"BC",0,TRUE
"TFF1","Estrogen Receptor alpha",9,"BC",0,TRUE
"TFF1","Estrogen Receptors",11,"BC",0,TRUE
"TFF1","estrogens",10,"BC",2,TRUE
"TGFA","EGFR",4,"BC",0,TRUE
"TGFA","ESR1",1,"BC",0,TRUE
"TGFA","estrogen receptor alpha",1,"BC",0,TRUE
"TGFA","Mitogen-Activated Protein Kinases",1,"BC",0,TRUE
"TGFB1","Vitamin D3 Receptor",1,"trait",0,TRUE
"thrombin","osteopontin",3,"BC",0,TRUE
"Thromboplastin","TP53",1,"BC",0,TRUE
"Thyrotropin-Releasing Hormone","estrogens",2,"trait",0,TRUE
"Thyrotropin-Releasing Hormone","Prolactin",6,"trait",3,TRUE
"TIMP1","Interstitial Collagenase",1,"trait",0,TRUE
"Tissue-Inhibitor of Metalloproteinase-1","Interstitial Collagenase",1,"trait",0,TRUE
"TNF","Adiponectin",2,"trait",0,TRUE
"TNF","Aromatase",5,"shared",0,TRUE
"TNF","CDKN1A",1,"BC",0,TRUE
"TNF","Estrogen Receptor alpha",2,"BC",1,TRUE
"TNF","H3F3AP6",1,"BC",0,TRUE
"TNF","MID1",1,"trait",0,TRUE
"TNF","NSG1",1,"BC",0,TRUE
"TNF","TCEAL1",1,"BC",0,TRUE
"TNFRSF11B","Apolipoprotein A-I",1,"trait",0,TRUE
"TNFRSF11B","NF-kappa B",2,"BC",0,TRUE
"TNFRSF11B","NFKB1",1,"BC",0,TRUE
"TNFRSF11B","TRANCE protein",14,"BC",0,TRUE
"Topical form estradiol","collagen",3,"trait",0,TRUE
